Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_422,VDD,Metal1,245.7865,145.6165,4.999974
FILLER_33_394,VDD,Metal1,227.6400,145.0400,4.999977
FILLER_33_386,VDD,Metal1,225.6265,145.6165,4.999977
FILLER_33_379,VDD,Metal1,219.2400,145.0400,4.999978
FILLER_33_377,VDD,Metal1,218.4000,145.0400,4.999978
FILLER_33_373,VDD,Metal1,217.1000,145.4725,4.999978
FILLER_33_358,VDD,Metal1,207.4800,145.0400,4.999978
FILLER_33_349,VDD,Metal1,202.4400,145.0400,4.999980
FILLER_33_330,VDD,Metal1,192.0800,145.0400,4.999980
FILLER_33_314,VDD,Metal1,187.6480,145.7320,4.999980
FILLER_33_300,VDD,Metal1,175.0000,145.0400,4.999984
FILLER_33_292,VDD,Metal1,172.9865,145.6165,4.999984
FILLER_33_265,VDD,Metal1,155.4000,145.0400,4.999984
FILLER_33_261,VDD,Metal1,154.3800,145.4725,4.999984
FILLER_33_253,VDD,Metal1,151.1465,145.6165,4.999984
FILLER_33_234,VDD,Metal1,138.3200,145.0400,4.999985
FILLER_33_226,VDD,Metal1,136.0265,145.6165,4.999985
FILLER_33_212,VDD,Metal1,125.7200,145.0400,4.999985
FILLER_33_209,VDD,Metal1,124.0400,145.0400,4.999985
FILLER_33_207,VDD,Metal1,123.2000,145.0400,4.999985
FILLER_33_191,VDD,Metal1,118.7680,145.7320,4.999985
FILLER_33_167,VDD,Metal1,100.8000,145.0400,4.999986
FILLER_33_163,VDD,Metal1,99.5000,145.4725,4.999986
FILLER_33_142,VDD,Metal1,86.5200,145.0400,4.999987
FILLER_33_139,VDD,Metal1,84.8400,145.0400,4.999987
FILLER_33_137,VDD,Metal1,84.0000,145.0400,4.999987
FILLER_33_133,VDD,Metal1,82.7000,145.4725,4.999987
FILLER_33_117,VDD,Metal1,77.3280,145.7320,4.999987
FILLER_33_72,VDD,Metal1,47.6000,145.0400,4.999988
FILLER_33_66,VDD,Metal1,45.1800,145.4725,4.999988
FILLER_33_50,VDD,Metal1,39.8080,145.7320,4.999988
FILLER_33_18,VDD,Metal1,26.4355,145.8085,4.999989
FILLER_32_473,VDD,Metal1,271.8800,145.0400,4.999973
FILLER_32_469,VDD,Metal1,270.8600,144.6075,4.999973
FILLER_32_457,VDD,Metal1,264.1400,144.6075,4.999973
