Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_33_422,VSS,Metal1,244.7730,148.4980,0.000033
FILLER_33_394,VSS,Metal1,227.6400,148.9600,0.000031
FILLER_33_386,VSS,Metal1,224.6130,148.4980,0.000031
FILLER_33_379,VSS,Metal1,219.2400,148.9600,0.000030
FILLER_33_377,VSS,Metal1,218.4000,148.9600,0.000030
FILLER_33_373,VSS,Metal1,216.3400,148.6110,0.000030
FILLER_33_358,VSS,Metal1,207.4800,148.9600,0.000026
FILLER_33_349,VSS,Metal1,202.4400,148.9600,0.000025
FILLER_33_330,VSS,Metal1,192.0800,148.9600,0.000025
FILLER_33_314,VSS,Metal1,186.4320,148.4120,0.000025
FILLER_33_300,VSS,Metal1,175.0000,148.9600,0.000024
FILLER_33_292,VSS,Metal1,171.9730,148.4980,0.000024
FILLER_33_265,VSS,Metal1,155.4000,148.9600,0.000023
FILLER_33_261,VSS,Metal1,153.6200,148.6110,0.000023
FILLER_33_253,VSS,Metal1,150.1330,148.4980,0.000023
FILLER_33_234,VSS,Metal1,138.3200,148.9600,0.000022
FILLER_33_226,VSS,Metal1,135.0130,148.4980,0.000022
FILLER_33_212,VSS,Metal1,125.7200,148.9600,0.000022
FILLER_33_209,VSS,Metal1,124.0400,148.9600,0.000022
FILLER_33_207,VSS,Metal1,123.2000,148.9600,0.000022
FILLER_33_191,VSS,Metal1,117.5520,148.4120,0.000022
FILLER_33_167,VSS,Metal1,100.8000,148.9600,0.000021
FILLER_33_163,VSS,Metal1,98.7400,148.6110,0.000021
FILLER_33_142,VSS,Metal1,86.5200,148.9600,0.000020
FILLER_33_139,VSS,Metal1,84.8400,148.9600,0.000020
FILLER_33_137,VSS,Metal1,84.0000,148.9600,0.000020
FILLER_33_133,VSS,Metal1,81.9400,148.6110,0.000020
FILLER_33_117,VSS,Metal1,76.1120,148.4120,0.000019
FILLER_33_72,VSS,Metal1,47.6000,148.9600,0.000018
FILLER_33_66,VSS,Metal1,44.4200,148.6110,0.000018
FILLER_33_50,VSS,Metal1,38.5920,148.4120,0.000018
FILLER_33_18,VSS,Metal1,25.0840,148.3620,0.000017
FILLER_32_473,VSS,Metal1,271.8800,141.1200,0.000110
FILLER_32_469,VSS,Metal1,270.1000,141.4685,0.000110
FILLER_32_457,VSS,Metal1,263.3800,141.4685,0.000110
FILLER_32_441,VSS,Metal1,253.9600,141.1200,0.000109
FILLER_32_405,VSS,Metal1,233.8000,141.1200,0.000107
FILLER_32_403,VSS,Metal1,232.9600,141.1200,0.000107
FILLER_32_395,VSS,Metal1,229.6530,141.5815,0.000107
FILLER_32_381,VSS,Metal1,220.8200,141.4685,0.000104
FILLER_32_373,VSS,Metal1,217.3330,141.5815,0.000102
FILLER_32_357,VSS,Metal1,210.5120,141.6680,0.000099
FILLER_32_335,VSS,Metal1,194.6000,141.1200,0.000042
FILLER_32_327,VSS,Metal1,191.5730,141.5815,0.000042
FILLER_32_317,VSS,Metal1,184.9800,141.4685,0.000041
FILLER_32_313,VSS,Metal1,182.5600,141.1200,0.000041
FILLER_32_295,VSS,Metal1,172.4800,141.1200,0.000041
FILLER_32_279,VSS,Metal1,166.8320,141.6680,0.000041
FILLER_32_273,VSS,Metal1,160.1600,141.1200,0.000041
FILLER_32_257,VSS,Metal1,154.5120,141.6680,0.000041
FILLER_32_234,VSS,Metal1,138.3200,141.1200,0.000038
FILLER_32_230,VSS,Metal1,136.2600,141.4685,0.000038
FILLER_32_222,VSS,Metal1,132.7730,141.5815,0.000038
FILLER_32_206,VSS,Metal1,123.8130,141.5815,0.000035
FILLER_32_190,VSS,Metal1,116.9920,141.6680,0.000035
FILLER_32_179,VSS,Metal1,107.2400,141.1200,0.000035
FILLER_32_177,VSS,Metal1,106.4000,141.1200,0.000035
FILLER_32_166,VSS,Metal1,100.2400,141.1200,0.000032
FILLER_32_121,VSS,Metal1,74.7600,141.1200,0.000031
FILLER_32_113,VSS,Metal1,71.7330,141.5815,0.000031
FILLER_32_107,VSS,Metal1,66.9200,141.1200,0.000030
FILLER_32_86,VSS,Metal1,55.1600,141.1200,0.000030
FILLER_32_84,VSS,Metal1,54.3200,141.1200,0.000028
FILLER_32_53,VSS,Metal1,36.9600,141.1200,0.000026
FILLER_32_37,VSS,Metal1,31.3120,141.6680,0.000026
FILLER_32_34,VSS,Metal1,26.0400,141.1200,0.000026
FILLER_32_2,VSS,Metal1,16.1240,141.7175,0.000026
FILLER_31_422,VSS,Metal1,244.7730,140.6580,0.000108
FILLER_31_411,VSS,Metal1,237.1600,141.1200,0.000108
FILLER_31_407,VSS,Metal1,235.3800,140.7710,0.000108
FILLER_31_379,VSS,Metal1,219.5200,141.1200,0.000102
FILLER_31_373,VSS,Metal1,215.8800,141.1200,0.000102
FILLER_31_369,VSS,Metal1,214.1000,140.7710,0.000099
FILLER_31_360,VSS,Metal1,209.0600,140.7710,0.000099
FILLER_31_352,VSS,Metal1,205.5730,140.6580,0.000098
FILLER_31_335,VSS,Metal1,194.6000,141.1200,0.000042
FILLER_31_298,VSS,Metal1,174.1600,141.1200,0.000041
FILLER_31_282,VSS,Metal1,168.5120,140.5720,0.000041
FILLER_31_269,VSS,Metal1,158.1000,140.7710,0.000041
FILLER_31_224,VSS,Metal1,136.0320,140.5720,0.000038
FILLER_31_202,VSS,Metal1,120.4000,141.1200,0.000035
FILLER_31_171,VSS,Metal1,103.0400,141.1200,0.000032
FILLER_31_167,VSS,Metal1,100.9800,140.7710,0.000032
FILLER_31_156,VSS,Metal1,94.3600,141.1200,0.000032
FILLER_31_136,VSS,Metal1,83.6200,140.7710,0.000031
FILLER_31_128,VSS,Metal1,80.1330,140.6580,0.000031
FILLER_31_112,VSS,Metal1,73.3120,140.5720,0.000031
FILLER_31_82,VSS,Metal1,52.9200,141.1200,0.000028
FILLER_31_58,VSS,Metal1,39.9400,140.7710,0.000027
FILLER_31_50,VSS,Metal1,36.4530,140.6580,0.000026
FILLER_31_34,VSS,Metal1,29.6320,140.5720,0.000026
FILLER_31_2,VSS,Metal1,16.1240,140.5220,0.000026
FILLER_30_469,VSS,Metal1,269.9200,133.2800,0.000043
FILLER_30_457,VSS,Metal1,263.3800,133.6285,0.000043
FILLER_30_428,VSS,Metal1,246.9600,133.2800,0.000042
FILLER_30_414,VSS,Metal1,239.1200,133.2800,0.000042
FILLER_30_410,VSS,Metal1,237.0600,133.6285,0.000042
FILLER_30_394,VSS,Metal1,231.2320,133.8280,0.000042
FILLER_30_387,VSS,Metal1,224.0000,133.2800,0.000040
FILLER_30_383,VSS,Metal1,221.7600,133.2800,0.000040
FILLER_30_372,VSS,Metal1,215.3200,133.2800,0.000039
FILLER_30_370,VSS,Metal1,214.4800,133.2800,0.000039
FILLER_30_357,VSS,Metal1,208.3730,133.7415,0.000039
FILLER_30_301,VSS,Metal1,176.0200,133.6285,0.000037
FILLER_30_269,VSS,Metal1,165.6440,133.8775,0.000036
FILLER_30_263,VSS,Metal1,154.2800,133.2800,0.000036
FILLER_30_259,VSS,Metal1,152.5000,133.6285,0.000036
FILLER_30_251,VSS,Metal1,149.0130,133.7415,0.000035
FILLER_30_241,VSS,Metal1,142.4200,133.6285,0.000035
FILLER_30_233,VSS,Metal1,138.9330,133.7415,0.000035
FILLER_30_202,VSS,Metal1,120.4000,133.2800,0.000034
FILLER_30_198,VSS,Metal1,118.3400,133.6285,0.000034
FILLER_30_190,VSS,Metal1,114.8530,133.7415,0.000033
FILLER_30_182,VSS,Metal1,109.3800,133.6285,0.000031
FILLER_30_174,VSS,Metal1,104.4400,133.2800,0.000030
FILLER_30_172,VSS,Metal1,103.6000,133.2800,0.000030
FILLER_30_168,VSS,Metal1,101.5400,133.6285,0.000029
FILLER_30_159,VSS,Metal1,96.0400,133.2800,0.000029
FILLER_30_157,VSS,Metal1,95.2000,133.2800,0.000029
FILLER_30_153,VSS,Metal1,93.1400,133.6285,0.000029
FILLER_30_145,VSS,Metal1,89.6530,133.7415,0.000029
FILLER_30_131,VSS,Metal1,80.8200,133.6285,0.000029
FILLER_30_111,VSS,Metal1,69.4400,133.2800,0.000029
FILLER_30_107,VSS,Metal1,67.3800,133.6285,0.000028
FILLER_30_103,VSS,Metal1,64.9600,133.2800,0.000026
FILLER_30_99,VSS,Metal1,62.9000,133.6285,0.000026
FILLER_30_91,VSS,Metal1,59.4130,133.7415,0.000025
FILLER_30_31,VSS,Metal1,24.8200,133.6285,0.000023
FILLER_30_15,VSS,Metal1,18.9920,133.8280,0.000023
FILLER_30_8,VSS,Metal1,11.4800,133.2800,0.000023
FILLER_30_6,VSS,Metal1,10.6400,133.2800,0.000023
FILLER_30_2,VSS,Metal1,8.5800,133.6285,0.000023
FILLER_29_430,VSS,Metal1,248.0800,133.2800,0.000042
FILLER_29_419,VSS,Metal1,241.6400,133.2800,0.000042
FILLER_29_389,VSS,Metal1,224.8400,133.2800,0.000041
FILLER_29_385,VSS,Metal1,223.0600,132.9310,0.000040
FILLER_29_372,VSS,Metal1,215.3200,133.2800,0.000039
FILLER_29_356,VSS,Metal1,206.6400,133.2800,0.000039
FILLER_29_352,VSS,Metal1,204.5800,132.9310,0.000039
FILLER_29_349,VSS,Metal1,202.4400,133.2800,0.000038
FILLER_29_345,VSS,Metal1,200.6600,132.9310,0.000038
FILLER_29_298,VSS,Metal1,175.3330,132.8180,0.000037
FILLER_29_253,VSS,Metal1,149.1400,132.9310,0.000035
FILLER_29_221,VSS,Metal1,138.7640,132.6820,0.000035
FILLER_29_209,VSS,Metal1,124.0400,133.2800,0.000035
FILLER_29_207,VSS,Metal1,123.2000,133.2800,0.000035
FILLER_29_203,VSS,Metal1,121.1400,132.9310,0.000034
