net,length_um
pulse_timing_register\[22\],41.49µm
range_timing_internal\[23\],41.49µm
_0153_,41.44µm
_0173_,41.03µm
_0404_,40.93µm
pulse_timing_internal\[19\],40.93µm
pulse_timing_internal\[4\],40.88µm
range_timing_internal\[11\],40.52µm
_0375_,40.47µm
_0260_,40.37µm
_0196_,39.86µm
range_timing_register\[7\],39.86µm
_0402_,39.81µm
range_timing_register\[9\],39.76µm
_0348_,39.35µm
measurement_state_machine\[6\],39.3µm
range_timing_internal\[4\],39.3µm
_0150_,38.69µm
pulse_timing_register\[1\],38.69µm
_0448_,38.13µm
range_timing_internal\[3\],37.72µm
range_timing_internal\[15\],37.67µm
_0311_,37.57µm
_0618_,37.52µm
measurement_state_machine\[8\],37.44µm
trigger_timer_internal\[4\],37.11µm
_0551_,37.01µm
_0197_,36.96µm
_0361_,36.96µm
afe_config_bypass_control_register\[6\],36.55µm
net62,36.5µm
_0221_,36.45µm
_0355_,36.45µm
range_timing_register\[16\],36.45µm
range_timing_register\[23\],36.45µm
_0315_,36.4µm
_0564_,36.4µm
_0409_,35.94µm
pulse_timing_internal\[9\],35.94µm
pulse_timing_internal\[1\],35.89µm
WE_I,35.865µm
_0617_,35.84µm
_0415_,35.48µm
net83,35.38µm
_0270_,35.28µm
pulse_timing_internal\[14\],34.87µm
_0510_,34.82µm
_0272_,34.77µm
_0560_,34.72µm
pulse_timing_internal\[20\],34.31µm
_0288_,34.21µm
ACK_O,34.185µm
DAT_O[7],34.185µm
range_timing_register\[12\],34.16µm
_0170_,33.7µm
_0231_,33.65µm
pulse_timing_register\[16\],33.65µm
range_timing_register\[19\],33.65µm
pulse_timing_register\[9\],33.14µm
_0384_,33.09µm
_0619_,33.04µm
_0539_,32.58µm
pulse_timing_internal\[5\],32.58µm
net59,32.48µm
range_timing_register\[22\],32.02µm
_0403_,31.97µm
range_timing_register\[10\],31.97µm
range_timing_register\[20\],31.46µm
_0567_,31.36µm
_0335_,30.95µm
pulse_timing_internal\[0\],30.95µm
_0504_,30.85µm
ADDR_I[0],30.825µm
_0247_,30.39µm
pulse_timing_internal\[16\],29.78µm
_0132_,29.73µm
counter_control_status_register\[2\],29.73µm
pulse_timing_internal\[3\],29.73µm
DAT_O[6],29.705µm
