Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_350,VDD,Metal1,203.0000,207.7600,4.999990
FILLER_49_295,VDD,Metal1,172.2000,207.7600,4.999990
FILLER_49_293,VDD,Metal1,171.3600,207.7600,4.999990
FILLER_49_274,VDD,Metal1,160.4400,207.7600,4.999989
FILLER_49_264,VDD,Metal1,156.0600,208.1925,4.999989
FILLER_49_256,VDD,Metal1,152.8265,208.3365,4.999989
FILLER_49_240,VDD,Metal1,146.2080,208.4520,4.999989
FILLER_49_206,VDD,Metal1,131.7155,208.5285,4.999989
FILLER_49_203,VDD,Metal1,120.6800,207.7600,4.999989
FILLER_49_199,VDD,Metal1,119.6600,208.1925,4.999989
FILLER_49_183,VDD,Metal1,114.2880,208.4520,4.999989
FILLER_49_178,VDD,Metal1,106.6800,207.7600,4.999989
FILLER_49_176,VDD,Metal1,105.8400,207.7600,4.999989
FILLER_49_172,VDD,Metal1,104.5400,208.1925,4.999989
FILLER_49_138,VDD,Metal1,93.6355,208.5285,4.999989
FILLER_49_104,VDD,Metal1,74.5955,208.5285,4.999990
FILLER_49_70,VDD,Metal1,55.5555,208.5285,4.999991
FILLER_49_36,VDD,Metal1,36.5155,208.5285,4.999991
FILLER_49_2,VDD,Metal1,17.4755,208.5285,4.999991
FILLER_48_346,VDD,Metal1,200.7600,207.7600,4.999990
FILLER_48_306,VDD,Metal1,178.3600,207.7600,4.999990
FILLER_48_257,VDD,Metal1,153.3865,207.1830,4.999989
FILLER_48_244,VDD,Metal1,143.6400,207.7600,4.999989
FILLER_48_240,VDD,Metal1,142.6200,207.3275,4.999989
FILLER_48_232,VDD,Metal1,139.3865,207.1830,4.999989
FILLER_48_177,VDD,Metal1,106.1200,207.7600,4.999989
FILLER_48_171,VDD,Metal1,103.9800,207.3275,4.999989
FILLER_48_163,VDD,Metal1,100.7465,207.1830,4.999989
FILLER_48_147,VDD,Metal1,94.1280,207.0680,4.999989
FILLER_48_138,VDD,Metal1,84.2800,207.7600,4.999990
FILLER_48_134,VDD,Metal1,83.2600,207.3275,4.999990
FILLER_48_126,VDD,Metal1,80.0265,207.1830,4.999990
FILLER_48_115,VDD,Metal1,71.6800,207.7600,4.999990
FILLER_48_107,VDD,Metal1,69.3865,207.1830,4.999990
FILLER_48_104,VDD,Metal1,65.2400,207.7600,4.999990
FILLER_48_96,VDD,Metal1,63.2265,207.1830,4.999990
FILLER_48_80,VDD,Metal1,56.6080,207.0680,4.999991
FILLER_48_49,VDD,Metal1,34.7200,207.7600,4.999991
FILLER_48_45,VDD,Metal1,33.4200,207.3275,4.999991
FILLER_48_37,VDD,Metal1,30.1865,207.1830,4.999991
FILLER_48_34,VDD,Metal1,26.0400,207.7600,4.999991
FILLER_48_2,VDD,Metal1,17.4755,206.9910,4.999991
FILLER_47_272,VDD,Metal1,159.6000,199.9200,4.999971
FILLER_47_236,VDD,Metal1,139.1600,199.9200,4.999969
FILLER_47_234,VDD,Metal1,138.3200,199.9200,4.999969
FILLER_47_218,VDD,Metal1,133.8880,200.6120,4.999969
FILLER_47_209,VDD,Metal1,124.0400,199.9200,4.999969
FILLER_47_197,VDD,Metal1,118.5400,200.3525,4.999969
FILLER_47_157,VDD,Metal1,94.9200,199.9200,4.999970
FILLER_47_155,VDD,Metal1,94.0800,199.9200,4.999970
FILLER_47_151,VDD,Metal1,92.7800,200.3525,4.999970
FILLER_47_133,VDD,Metal1,81.4800,199.9200,4.999970
FILLER_47_131,VDD,Metal1,80.6400,199.9200,4.999970
FILLER_47_72,VDD,Metal1,47.3200,199.9200,4.999972
FILLER_47_54,VDD,Metal1,37.2400,199.9200,4.999972
FILLER_47_52,VDD,Metal1,36.4000,199.9200,4.999972
FILLER_47_22,VDD,Metal1,19.3200,199.9200,4.999973
FILLER_47_18,VDD,Metal1,18.3000,200.3525,4.999973
FILLER_47_2,VDD,Metal1,12.9280,200.6120,4.999973
FILLER_46_303,VDD,Metal1,176.9600,199.9200,4.999971
FILLER_46_273,VDD,Metal1,159.8800,199.9200,4.999971
FILLER_46_269,VDD,Metal1,158.8600,199.4875,4.999970
FILLER_46_164,VDD,Metal1,98.8400,199.9200,4.999970
FILLER_46_162,VDD,Metal1,98.0000,199.9200,4.999970
FILLER_46_127,VDD,Metal1,78.1200,199.9200,4.999970
FILLER_46_107,VDD,Metal1,68.1400,199.4875,4.999970
