Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_350,VSS,Metal1,203.0000,211.6800,0.000003
FILLER_49_295,VSS,Metal1,172.2000,211.6800,0.000003
FILLER_49_293,VSS,Metal1,171.3600,211.6800,0.000004
FILLER_49_274,VSS,Metal1,160.4400,211.6800,0.000004
FILLER_49_264,VSS,Metal1,155.3000,211.3310,0.000003
FILLER_49_256,VSS,Metal1,151.8130,211.2180,0.000003
FILLER_49_240,VSS,Metal1,144.9920,211.1320,0.000003
FILLER_49_206,VSS,Metal1,130.3640,211.0820,0.000003
FILLER_49_203,VSS,Metal1,120.6800,211.6800,0.000003
FILLER_49_199,VSS,Metal1,118.9000,211.3310,0.000003
FILLER_49_183,VSS,Metal1,113.0720,211.1320,0.000003
FILLER_49_178,VSS,Metal1,106.6800,211.6800,0.000003
FILLER_49_176,VSS,Metal1,105.8400,211.6800,0.000002
FILLER_49_172,VSS,Metal1,103.7800,211.3310,0.000002
FILLER_49_138,VSS,Metal1,92.2840,211.0820,0.000002
FILLER_49_104,VSS,Metal1,73.2440,211.0820,0.000002
FILLER_49_70,VSS,Metal1,54.2040,211.0820,0.000002
FILLER_49_36,VSS,Metal1,35.1640,211.0820,0.000002
FILLER_49_2,VSS,Metal1,16.1240,211.0820,0.000002
FILLER_48_346,VSS,Metal1,200.7600,203.8400,0.000020
FILLER_48_306,VSS,Metal1,178.3600,203.8400,0.000021
FILLER_48_257,VSS,Metal1,152.3730,204.3015,0.000025
FILLER_48_244,VSS,Metal1,143.6400,203.8400,0.000025
FILLER_48_240,VSS,Metal1,141.8600,204.1885,0.000025
FILLER_48_232,VSS,Metal1,138.3730,204.3015,0.000025
FILLER_48_177,VSS,Metal1,106.1200,203.8400,0.000025
FILLER_48_171,VSS,Metal1,103.2200,204.1885,0.000025
FILLER_48_163,VSS,Metal1,99.7330,204.3015,0.000025
FILLER_48_147,VSS,Metal1,92.9120,204.3880,0.000024
FILLER_48_138,VSS,Metal1,84.2800,203.8400,0.000024
FILLER_48_134,VSS,Metal1,82.5000,204.1885,0.000024
FILLER_48_126,VSS,Metal1,79.0130,204.3015,0.000024
FILLER_48_115,VSS,Metal1,71.6800,203.8400,0.000024
FILLER_48_107,VSS,Metal1,68.3730,204.3015,0.000024
FILLER_48_104,VSS,Metal1,65.2400,203.8400,0.000024
FILLER_48_96,VSS,Metal1,62.2130,204.3015,0.000023
FILLER_48_80,VSS,Metal1,55.3920,204.3880,0.000023
FILLER_48_49,VSS,Metal1,34.7200,203.8400,0.000022
FILLER_48_45,VSS,Metal1,32.6600,204.1885,0.000022
FILLER_48_37,VSS,Metal1,29.1730,204.3015,0.000022
FILLER_48_34,VSS,Metal1,26.0400,203.8400,0.000022
FILLER_48_2,VSS,Metal1,16.1240,204.4375,0.000022
FILLER_47_272,VSS,Metal1,159.6000,203.8400,0.000024
FILLER_47_236,VSS,Metal1,139.1600,203.8400,0.000025
FILLER_47_234,VSS,Metal1,138.3200,203.8400,0.000025
FILLER_47_218,VSS,Metal1,132.6720,203.2920,0.000025
FILLER_47_209,VSS,Metal1,124.0400,203.8400,0.000025
FILLER_47_197,VSS,Metal1,117.7800,203.4910,0.000025
FILLER_47_157,VSS,Metal1,94.9200,203.8400,0.000024
FILLER_47_155,VSS,Metal1,94.0800,203.8400,0.000024
FILLER_47_151,VSS,Metal1,92.0200,203.4910,0.000024
FILLER_47_133,VSS,Metal1,81.4800,203.8400,0.000024
FILLER_47_131,VSS,Metal1,80.6400,203.8400,0.000024
FILLER_47_72,VSS,Metal1,47.3200,203.8400,0.000023
FILLER_47_54,VSS,Metal1,37.2400,203.8400,0.000023
FILLER_47_52,VSS,Metal1,36.4000,203.8400,0.000022
FILLER_47_22,VSS,Metal1,19.3200,203.8400,0.000022
FILLER_47_18,VSS,Metal1,17.5400,203.4910,0.000022
FILLER_47_2,VSS,Metal1,11.7120,203.2920,0.000022
FILLER_46_303,VSS,Metal1,176.9600,196.0000,0.000035
FILLER_46_273,VSS,Metal1,159.8800,196.0000,0.000036
FILLER_46_269,VSS,Metal1,158.1000,196.3485,0.000036
FILLER_46_164,VSS,Metal1,98.8400,196.0000,0.000038
FILLER_46_162,VSS,Metal1,98.0000,196.0000,0.000038
FILLER_46_127,VSS,Metal1,78.1200,196.0000,0.000037
FILLER_46_107,VSS,Metal1,67.3800,196.3485,0.000036
FILLER_46_99,VSS,Metal1,62.7200,196.0000,0.000020
FILLER_46_87,VSS,Metal1,56.0000,196.0000,0.000019
FILLER_46_79,VSS,Metal1,51.2400,196.0000,0.000019
FILLER_46_46,VSS,Metal1,33.2200,196.3485,0.000017
FILLER_46_37,VSS,Metal1,27.7200,196.0000,0.000017
FILLER_46_25,VSS,Metal1,21.2800,196.0000,0.000016
FILLER_46_14,VSS,Metal1,14.8400,196.0000,0.000016
FILLER_46_10,VSS,Metal1,13.0600,196.3485,0.000016
FILLER_46_2,VSS,Metal1,9.5730,196.4615,0.000016
FILLER_45_311,VSS,Metal1,181.1600,196.0000,0.000035
FILLER_45_272,VSS,Metal1,159.7800,195.6510,0.000036
FILLER_45_228,VSS,Metal1,134.6800,196.0000,0.000037
FILLER_45_226,VSS,Metal1,133.8400,196.0000,0.000037
FILLER_45_194,VSS,Metal1,115.9200,196.0000,0.000037
FILLER_45_175,VSS,Metal1,105.2800,196.0000,0.000038
FILLER_45_171,VSS,Metal1,103.2200,195.6510,0.000038
FILLER_45_131,VSS,Metal1,80.6400,196.0000,0.000037
FILLER_45_122,VSS,Metal1,75.3200,196.0000,0.000037
FILLER_45_83,VSS,Metal1,53.4800,196.0000,0.000019
FILLER_45_81,VSS,Metal1,52.6400,196.0000,0.000019
FILLER_45_35,VSS,Metal1,30.1920,195.4520,0.000017
FILLER_45_2,VSS,Metal1,8.5800,195.6510,0.000016
FILLER_44_317,VSS,Metal1,184.8000,188.1600,0.000010
FILLER_44_244,VSS,Metal1,143.6400,188.1600,0.000010
FILLER_44_236,VSS,Metal1,140.6130,188.6215,0.000010
FILLER_44_220,VSS,Metal1,133.7920,188.7080,0.000010
FILLER_44_210,VSS,Metal1,124.6000,188.1600,0.000009
FILLER_44_208,VSS,Metal1,123.7600,188.1600,0.000009
FILLER_44_198,VSS,Metal1,117.8800,188.1600,0.000009
FILLER_44_188,VSS,Metal1,112.5600,188.1600,0.000009
FILLER_44_181,VSS,Metal1,108.3600,188.1600,0.000009
FILLER_44_177,VSS,Metal1,106.5800,188.5085,0.000009
FILLER_44_174,VSS,Metal1,104.4400,188.1600,0.000009
FILLER_44_158,VSS,Metal1,99.0720,188.7080,0.000009
FILLER_44_142,VSS,Metal1,86.8000,188.1600,0.000009
FILLER_44_136,VSS,Metal1,83.1600,188.1600,0.000009
