net,length_um
net10,719.79µm
_103_,322.96µm
_386_,257.95µm
recv_data_buffer\[3\],251.74µm
iteration\[0\],229.88µm
recv_data_buffer\[6\],228.58µm
recv_data_buffer\[5\],224.3µm
net21,201.85µm
_137_,200.83µm
wb_master_state\[1\],198.69µm
iteration\[1\],198.29µm
recv_data_buffer\[7\],192.74µm
_102_,189.48µm
clknet_3_2__leaf_CLK_I,187.24µm
addr_pointer_register_internal\[0\],186.83µm
_277_,180.06µm
wb_master_state\[0\],178.33µm
clknet_0_CLK_I,175.02µm
recv_data_buffer\[2\],171.05µm
clknet_3_6__leaf_CLK_I,168.4µm
_101_,168.3µm
net1,166.93µm
_169_,163.67µm
_322_,162.55µm
_317_,160.41µm
clknet_3_7__leaf_CLK_I,153.18µm
_320_,152.19µm
_154_,150.33µm
CLK_I,148.57µm
net35,148.55µm
i2c_state\[1\],148.09µm
_118_,141.37µm
i2c_scl_in_synchronised_internal,138.52µm
i2c_state\[0\],137.25µm
rising_edge_detected,136.79µm
_140_,135.54µm
_092_,134.65µm
addr_pointer_register_internal\[1\],129.56µm
i2c_sda_in_synchronised_internal,129µm
falling_edge_detected,127.47µm
clknet_3_3__leaf_CLK_I,127.33µm
_100_,126.81µm
addr_pointer_register_internal\[2\],125.99µm
clknet_3_4__leaf_CLK_I,123.91µm
recv_data_buffer\[4\],123.86µm
_383_,123.2µm
_084_,121.77µm
_261_,119.58µm
wb_master_subroutine_iteration\[0\],115.56µm
wb_master_subroutine_iteration\[1\],113.78µm
_395_,113.47µm
_113_,113.37µm
net25,113.22µm
_240_,111.74µm
_260_,108.23µm
_136_,105.38µm
_180_,102.48µm
address_data_buffer_internal\[0\],101.51µm
address_data_buffer_internal\[3\],100.39µm
clknet_3_5__leaf_CLK_I,100.34µm
_202_,99.32µm
clknet_3_1__leaf_CLK_I,98.81µm
_186_,98.71µm
_253_,98.15µm
_211_,97.59µm
addr_pointer_register_internal\[3\],96.62µm
_083_,95.81µm
CYC_O,95.32µm
DAT_O[6],94.76µm
_312_,92.96µm
_321_,92.45µm
_115_,91.99µm
_111_,91.12µm
recv_data_buffer\[0\],90.26µm
clknet_3_0__leaf_CLK_I,90.26µm
_166_,87.51µm
_141_,86.85µm
_073_,86.8µm
_400_,85.88µm
recv_data_buffer\[1\],85.73µm
_346_,85.22µm
iteration\[3\],84.86µm
_241_,83.08µm
DAT_O[3],81.88µm
received_data_internal_flag,81.55µm
DAT_O[7],80.76µm
addr_set_register\[6\],80.74µm
_082_,80.69µm
addr_pointer_register_internal\[7\],80.18µm
_285_,80.08µm
addr_set_register\[5\],78.96µm
ACK_I,78.06µm
_197_,76.21µm
addr_set_register\[7\],76.21µm
_121_,75.7µm
_153_,75.09µm
_402_,75.09µm
_085_,74.07µm
_167_,74.02µm
net27,72.29µm
addr_set_register\[4\],71.17µm
_405_,70.46µm
_270_,70.2µm
_176_,69.44µm
_174_,68.32µm
_093_,67.86µm
_078_,66.13µm
_122_,66.13µm
_075_,66.08µm
_195_,66.08µm
STB_O,65.13µm
addr_pointer_register_internal\[4\],62.92µm
_364_,62.41µm
net28,61.04µm
DAT_O[0],60.6µm
register_addr_data_flag,59.92µm
_284_,59.75µm
_278_,59.56µm
_089_,59.46µm
_389_,59µm
_150_,58.9µm
DAT_I[2],58.32µm
DAT_I[6],57.8µm
_165_,57.78µm
_110_,56.66µm
iteration\[2\],56.35µm
_243_,55.59µm
_203_,55.49µm
send_data_buffer\[6\],55.49µm
_365_,54.93µm
_099_,54.57µm
_387_,54.52µm
_119_,53.86µm
_262_,53.45µm
_336_,53.25µm
_388_,52.79µm
net26,52.69µm
_104_,52.23µm
address_data_buffer_internal\[4\],52.18µm
_318_,52.08µm
DAT_O[5],51.64µm
_254_,51.57µm
net30,50.96µm
net32,50.96µm
net50,50.4µm
_062_,50.04µm
_231_,49.38µm
addr_set_register\[3\],48.82µm
_081_,48.77µm
DAT_O[4],48.28µm
net15,48.26µm
_234_,48.21µm
_258_,47.7µm
_355_,47.65µm
net22,47.19µm
net29,47.14µm
send_data_buffer\[7\],47.04µm
_191_,47µm
addr_pointer_register_internal\[6\],46.63µm
DAT_I[7],46.6µm
_063_,46.09µm
DAT_I[0],46.04µm
ADDR_O[6],45.48µm
net17,45.46µm
_184_,45.41µm
addr_pointer_register_internal\[5\],44.95µm
_194_,44.8µm
DAT_I[4],44.36µm
DAT_I[5],44.36µm
_266_,44.34µm
DAT_I[3],43.8µm
RST_I,43.8µm
_249_,43.73µm
net46,43.73µm
_133_,43.27µm
_149_,43.17µm
net2,43.12µm
_179_,43.12µm
DAT_I[1],42.12µm
ADDR_O[4],41.56µm
_036_,40.93µm
ADDR_O[0],40.44µm
ADDR_O[7],40.44µm
_265_,40.42µm
net34,40.42µm
_390_,40.37µm
net19,40.32µm
_067_,40.32µm
_117_,39.81µm
_212_,39.81µm
_327_,39.81µm
write_request_internal_flag,39.81µm
_207_,39.2µm
net20,38.69µm
_065_,38.64µm
_107_,38.23µm
ADDR_O[5],38.2µm
net4,38.08µm
_201_,37.77µm
_223_,37.62µm
address_data_buffer_internal\[6\],37.57µm
net55,37.57µm
net45,37.52µm
ADDR_O[1],37.08µm
_230_,37.01µm
send_data_buffer\[2\],37.01µm
_183_,36.55µm
net14,36.45µm
_177_,36.45µm
_313_,35.94µm
_064_,35.89µm
_170_,35.89µm
ADDR_O[2],34.84µm
_399_,34.77µm
_037_,34.72µm
_264_,34.54µm
_282_,34.26µm
_164_,34.21µm
_333_,34.21µm
_347_,34.21µm
_087_,33.75µm
_235_,33.7µm
_196_,33.6µm
_199_,33.6µm
_311_,33.6µm
net51,33.6µm
_068_,33.04µm
_393_,33.04µm
_204_,32.53µm
_185_,31.92µm
_366_,31.92µm
_392_,31.92µm
_206_,31.51µm
_097_,31.41µm
_272_,31.41µm
_160_,31.36µm
