net,length_um
ADDR_O[3],30.92µm
_038_,30.9µm
_066_,30.9µm
_205_,30.9µm
net18,30.85µm
_209_,30.85µm
_380_,30.8µm
_239_,30.29µm
_391_,30.24µm
_256_,29.78µm
_091_,29.68µm
_187_,29.68µm
_224_,29.68µm
DAT_O[1],29.24µm
net57,29.12µm
_114_,28.66µm
_341_,28.56µm
send_data_buffer\[1\],28.56µm
_288_,28.1µm
_098_,28.05µm
_131_,28.05µm
addr_set_register\[2\],28.05µm
_127_,28µm
_192_,28µm
_354_,28µm
send_data_buffer\[4\],27.49µm
net58,27.49µm
_236_,27.44µm
_304_,27.44µm
net48,27.44µm
DAT_O[2],27µm
_095_,26.98µm
net7,26.93µm
_297_,26.93µm
_213_,26.88µm
net6,26.37µm
_077_,26.32µm
_221_,26.32µm
_218_,25.91µm
_161_,25.86µm
net3,25.81µm
net24,25.81µm
_071_,25.81µm
_105_,25.81µm
_295_,25.81µm
_088_,25.76µm
_120_,25.76µm
_255_,25.35µm
net16,25.25µm
net13,25.2µm
_172_,24.69µm
i2c_next_state\[1\],24.13µm
net23,24.08µm
_112_,24.08µm
address_data_buffer_internal\[5\],23.67µm
_128_,23.57µm
_162_,23.57µm
_349_,23.57µm
_273_,23.52µm
_086_,23.21µm
net9,23.01µm
_252_,23.01µm
_268_,23.01µm
_173_,22.96µm
_300_,22.96µm
sda_previous_state,22.5µm
register_content_data_flag,22.45µm
net56,22.45µm
_024_,22.4µm
_072_,22.4µm
_178_,22.4µm
_394_,22.4µm
address_data_buffer_internal\[2\],21.99µm
send_data_buffer\[0\],21.94µm
_061_,21.28µm
_331_,20.92µm
_148_,20.82µm
_210_,20.82µm
address_data_buffer_internal\[7\],20.82µm
_403_,20.77µm
_074_,20.72µm
_198_,20.72µm
addr_set_register\[1\],20.26µm
_011_,20.21µm
_069_,20.21µm
WE_O,19.72µm
_193_,19.65µm
_032_,19.6µm
_233_,19.6µm
_281_,19.6µm
_289_,19.6µm
net53,19.6µm
net31,19.09µm
_028_,19.09µm
_244_,19.09µm
_247_,19.04µm
net38,18.58µm
_147_,18.53µm
net37,18.53µm
_385_,18.48µm
_096_,18.02µm
_200_,17.97µm
_358_,17.97µm
_109_,17.92µm
_168_,17.92µm
_335_,17.92µm
i2c_sda_in,17.78µm
_302_,17.46µm
net42,17.46µm
_342_,17.41µm
_181_,17.36µm
_328_,17.36µm
_214_,16.95µm
_242_,16.9µm
_259_,16.9µm
_325_,16.85µm
_348_,16.85µm
wb_master_next_state\[1\],16.85µm
_134_,16.8µm
_315_,16.8µm
_049_,16.34µm
_251_,16.34µm
previous_state,16.29µm
address_data_buffer_internal\[1\],16.24µm
addr_set_register\[0\],15.83µm
_248_,15.78µm
_027_,15.73µm
_046_,15.73µm
_090_,15.73µm
sda_synchroniser_internal\[0\],15.73µm
_053_,15.68µm
_025_,15.22µm
_026_,15.22µm
_377_,15.22µm
_132_,15.17µm
_175_,15.17µm
_356_,15.17µm
_076_,15.12µm
_263_,15.12µm
_361_,15.12µm
_401_,15.12µm
_208_,14.71µm
_267_,14.66µm
send_data_buffer\[3\],14.66µm
_014_,14.61µm
_362_,14.61µm
_182_,14.56µm
_250_,14.1µm
_003_,14.05µm
_159_,14.05µm
wb_master_next_state\[0\],14.05µm
_350_,14µm
_376_,14µm
_384_,14µm
_283_,13.54µm
_010_,13.49µm
_012_,13.49µm
_156_,13.49µm
_022_,13.44µm
_039_,13.44µm
_080_,13.44µm
_319_,13.44µm
_294_,12.93µm
net54,12.93µm
_008_,12.88µm
_155_,12.88µm
_237_,12.88µm
net12,12.88µm
_094_,12.47µm
_124_,12.42µm
_138_,12.37µm
net33,12.37µm
_144_,12.32µm
_227_,12.32µm
_330_,12.32µm
net43,12.32µm
_296_,11.86µm
_125_,11.81µm
_305_,11.81µm
_308_,11.81µm
net8,11.76µm
i2c_scl_in,11.62µm
i2c_sda_out_pin_ctrl_n,11.62µm
_018_,11.25µm
_044_,11.25µm
net36,11.25µm
_017_,11.2µm
_029_,11.2µm
_055_,11.2µm
_245_,11.2µm
_276_,11.2µm
_343_,11.2µm
_345_,11.2µm
i2c_sda_out_pin_ctrl,11.06µm
_006_,10.69µm
_152_,10.69µm
_372_,10.69µm
_375_,10.69µm
_019_,10.64µm
_035_,10.64µm
_060_,10.64µm
_189_,10.64µm
net40,10.64µm
_013_,10.13µm
_309_,10.13µm
net11,10.13µm
_045_,10.08µm
_238_,10.08µm
_353_,10.08µm
_151_,9.9µm
_228_,9.57µm
_314_,9.57µm
i2c_next_state\[0\],9.57µm
_217_,9.52µm
_381_,9.52µm
_293_,9.06µm
_299_,9.06µm
_225_,9.01µm
_357_,9.01µm
net44,9.01µm
_374_,8.96µm
_378_,8.96µm
_407_,8.96µm
net52,8.96µm
_292_,8.55µm
_021_,8.45µm
_052_,8.45µm
_116_,8.45µm
_143_,8.45µm
_220_,8.45µm
_316_,8.45µm
_016_,8.4µm
_020_,8.4µm
_059_,8.4µm
_219_,8.4µm
_232_,8.4µm
_359_,8.4µm
scl_synchroniser_internal\[0\],8.4µm
_298_,7.94µm
_157_,7.89µm
_269_,7.89µm
_306_,7.89µm
_226_,7.84µm
_043_,7.33µm
_215_,7.33µm
_363_,7.33µm
net5,7.28µm
_007_,7.28µm
_009_,7.28µm
_145_,7.28µm
_146_,7.28µm
_158_,7.28µm
_171_,7.28µm
_291_,7.28µm
_404_,7.28µm
net41,7.28µm
_126_,6.82µm
_368_,6.82µm
_050_,6.77µm
_279_,6.77µm
_338_,6.77µm
_360_,6.77µm
_371_,6.77µm
_310_,6.72µm
_323_,6.72µm
_373_,6.72µm
_002_,6.26µm
_290_,6.26µm
_339_,6.26µm
_004_,6.21µm
_033_,6.16µm
send_data_buffer\[5\],6.16µm
net49,6.16µm
_274_,5.7µm
_337_,5.7µm
_047_,5.65µm
_054_,5.65µm
_070_,5.65µm
_190_,5.65µm
_334_,5.65µm
_030_,5.6µm
_051_,5.6µm
_057_,5.6µm
_351_,5.6µm
_398_,5.6µm
net47,5.18µm
_352_,5.14µm
_129_,5.09µm
_040_,5.04µm
_042_,5.04µm
_056_,5.04µm
_340_,5.04µm
_379_,5.04µm
_034_,4.53µm
_015_,4.48µm
_023_,4.48µm
_041_,4.48µm
_079_,4.48µm
_280_,4.48µm
_369_,4.48µm
_123_,4.02µm
_303_,4.02µm
_329_,4.02µm
_406_,4.02µm
_396_,3.97µm
_031_,3.92µm
_048_,3.92µm
_246_,3.92µm
_257_,3.92µm
_287_,3.92µm
_301_,3.92µm
_271_,3.46µm
_332_,3.46µm
_108_,3.36µm
_139_,3.36µm
_163_,3.36µm
_222_,3.36µm
_229_,3.36µm
_307_,3.36µm
_324_,3.36µm
net60,2.9µm
_001_,2.8µm
_005_,2.8µm
_058_,2.8µm
_106_,2.8µm
_188_,2.8µm
_326_,2.8µm
_344_,2.8µm
_367_,2.8µm
net59,2.8µm
_130_,2.34µm
_000_,2.24µm
_216_,2.24µm
_397_,2.24µm
net39,2.24µm
_135_,1.68µm
_142_,1.68µm
_275_,1.68µm
_370_,1.68µm
_286_,1.12µm
_382_,1.12µm
