Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_26_136,VSS,Metal1,83.4400,117.6000,0.000121
FILLER_26_66,VSS,Metal1,43.9600,117.6000,0.000109
FILLER_26_64,VSS,Metal1,43.1200,117.6000,0.000109
FILLER_26_60,VSS,Metal1,41.0600,117.9485,0.000109
FILLER_26_51,VSS,Metal1,35.5600,117.6000,0.000109
FILLER_26_49,VSS,Metal1,34.7200,117.6000,0.000109
FILLER_26_45,VSS,Metal1,32.6600,117.9485,0.000109
FILLER_26_37,VSS,Metal1,29.1730,118.0615,0.000106
FILLER_26_34,VSS,Metal1,26.0400,117.6000,0.000105
FILLER_26_32,VSS,Metal1,25.2000,117.6000,0.000105
FILLER_26_2,VSS,Metal1,8.1200,117.6000,0.000105
FILLER_25_139,VSS,Metal1,84.8400,117.6000,0.000121
FILLER_25_137,VSS,Metal1,84.0000,117.6000,0.000121
FILLER_25_123,VSS,Metal1,76.3400,117.2510,0.000121
FILLER_25_77,VSS,Metal1,51.5730,117.1380,0.000119
FILLER_25_40,VSS,Metal1,29.4000,117.6000,0.000106
FILLER_25_36,VSS,Metal1,27.6200,117.2510,0.000106
FILLER_24_177,VSS,Metal1,106.4000,109.7600,0.000202
FILLER_24_151,VSS,Metal1,91.5600,109.7600,0.000193
FILLER_24_127,VSS,Metal1,78.1200,109.7600,0.000189
FILLER_24_125,VSS,Metal1,77.2800,109.7600,0.000189
FILLER_24_37,VSS,Metal1,28.0000,109.7600,0.000176
FILLER_24_26,VSS,Metal1,21.8400,109.7600,0.000171
FILLER_23_160,VSS,Metal1,96.6000,109.7600,0.000198
FILLER_23_158,VSS,Metal1,95.7600,109.7600,0.000198
FILLER_23_154,VSS,Metal1,93.7000,109.4110,0.000196
FILLER_23_142,VSS,Metal1,86.5200,109.7600,0.000193
FILLER_23_139,VSS,Metal1,84.8400,109.7600,0.000189
FILLER_23_137,VSS,Metal1,84.0000,109.7600,0.000189
FILLER_23_83,VSS,Metal1,53.9400,109.4110,0.000187
FILLER_23_74,VSS,Metal1,48.4400,109.7600,0.000187
FILLER_23_72,VSS,Metal1,47.6000,109.7600,0.000187
FILLER_23_36,VSS,Metal1,27.1600,109.7600,0.000176
FILLER_23_32,VSS,Metal1,25.3800,109.4110,0.000171
FILLER_23_2,VSS,Metal1,8.1200,109.7600,0.000172
FILLER_22_255,VSS,Metal1,149.8000,101.9200,0.000068
FILLER_22_145,VSS,Metal1,88.2000,101.9200,0.000066
FILLER_22_143,VSS,Metal1,87.3600,101.9200,0.000066
FILLER_22_139,VSS,Metal1,85.3000,102.2685,0.000065
FILLER_22_111,VSS,Metal1,69.4400,101.9200,0.000064
FILLER_22_107,VSS,Metal1,67.3800,102.2685,0.000064
FILLER_22_104,VSS,Metal1,65.2400,101.9200,0.000063
FILLER_22_102,VSS,Metal1,64.4000,101.9200,0.000063
FILLER_22_91,VSS,Metal1,58.2400,101.9200,0.000058
FILLER_22_83,VSS,Metal1,54.9330,102.3815,0.000055
FILLER_22_69,VSS,Metal1,45.6400,101.9200,0.000041
FILLER_22_67,VSS,Metal1,44.8000,101.9200,0.000041
FILLER_22_37,VSS,Metal1,28.1800,102.2685,0.000040
FILLER_22_10,VSS,Metal1,13.0600,102.2685,0.000036
FILLER_22_2,VSS,Metal1,9.5730,102.3815,0.000036
FILLER_21_203,VSS,Metal1,120.6800,101.9200,0.000067
FILLER_21_162,VSS,Metal1,97.7200,101.9200,0.000066
FILLER_21_158,VSS,Metal1,95.9400,101.5710,0.000066
FILLER_21_142,VSS,Metal1,90.1120,101.3720,0.000066
FILLER_21_139,VSS,Metal1,84.8400,101.9200,0.000065
FILLER_21_137,VSS,Metal1,84.0000,101.9200,0.000065
FILLER_21_133,VSS,Metal1,81.9400,101.5710,0.000065
FILLER_21_90,VSS,Metal1,57.4000,101.9200,0.000056
FILLER_21_82,VSS,Metal1,54.3730,101.4580,0.000055
FILLER_21_72,VSS,Metal1,47.6000,101.9200,0.000048
FILLER_21_40,VSS,Metal1,29.4000,101.9200,0.000040
FILLER_21_34,VSS,Metal1,26.0400,101.9200,0.000036
FILLER_21_26,VSS,Metal1,23.0130,101.4580,0.000036
FILLER_21_10,VSS,Metal1,13.0600,101.5710,0.000036
FILLER_21_2,VSS,Metal1,9.5730,101.4580,0.000036
FILLER_20_255,VSS,Metal1,149.8000,94.0800,0.000047
FILLER_20_244,VSS,Metal1,143.6400,94.0800,0.000047
FILLER_20_240,VSS,Metal1,141.8600,94.4285,0.000047
