Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_237,VDD,Metal1,139.7200,152.8800,4.999965
FILLER_35_178,VDD,Metal1,106.6800,152.8800,4.999966
FILLER_35_104,VDD,Metal1,65.2400,152.8800,4.999972
FILLER_35_86,VDD,Metal1,55.1600,152.8800,4.999974
FILLER_35_70,VDD,Metal1,51.0080,153.5720,4.999974
FILLER_35_36,VDD,Metal1,27.4400,152.8800,4.999975
FILLER_35_18,VDD,Metal1,21.8880,153.5720,4.999976
FILLER_34_255,VDD,Metal1,149.8000,152.8800,4.999965
FILLER_34_253,VDD,Metal1,148.9600,152.8800,4.999965
FILLER_34_244,VDD,Metal1,143.6400,152.8800,4.999965
FILLER_34_107,VDD,Metal1,66.9200,152.8800,4.999972
FILLER_34_90,VDD,Metal1,57.6800,152.8800,4.999974
FILLER_34_45,VDD,Metal1,32.2000,152.8800,4.999974
FILLER_34_37,VDD,Metal1,30.1865,152.3030,4.999974
FILLER_34_34,VDD,Metal1,26.0400,152.8800,4.999976
FILLER_34_8,VDD,Metal1,11.4800,152.8800,4.999976
FILLER_34_6,VDD,Metal1,10.6400,152.8800,4.999976
FILLER_34_2,VDD,Metal1,9.3400,152.4475,4.999976
FILLER_33_200,VDD,Metal1,119.0000,145.0400,4.999924
FILLER_33_107,VDD,Metal1,68.1400,145.4725,4.999927
FILLER_33_87,VDD,Metal1,55.7200,145.0400,4.999935
FILLER_33_63,VDD,Metal1,42.5600,145.0400,4.999937
FILLER_33_33,VDD,Metal1,25.4800,145.0400,4.999941
FILLER_33_31,VDD,Metal1,24.6400,145.0400,4.999941
FILLER_32_255,VDD,Metal1,149.8000,145.0400,4.999924
FILLER_32_244,VDD,Metal1,143.6400,145.0400,4.999924
FILLER_32_189,VDD,Metal1,112.8400,145.0400,4.999924
FILLER_32_185,VDD,Metal1,111.8200,144.6075,4.999924
FILLER_32_166,VDD,Metal1,99.9600,145.0400,4.999925
FILLER_32_164,VDD,Metal1,99.1200,145.0400,4.999925
FILLER_32_133,VDD,Metal1,81.7600,145.0400,4.999925
FILLER_32_78,VDD,Metal1,50.6800,145.0400,4.999936
FILLER_32_37,VDD,Metal1,30.1865,144.4630,4.999937
FILLER_32_2,VDD,Metal1,9.3400,144.6075,4.999941
FILLER_31_255,VDD,Metal1,149.8000,137.2000,4.999955
FILLER_31_251,VDD,Metal1,148.7800,137.6325,4.999955
FILLER_31_206,VDD,Metal1,123.5800,137.6325,4.999955
FILLER_31_106,VDD,Metal1,67.5800,137.6325,4.999966
FILLER_31_98,VDD,Metal1,64.3465,137.7765,4.999966
FILLER_31_84,VDD,Metal1,54.0400,137.2000,4.999968
FILLER_31_82,VDD,Metal1,53.2000,137.2000,4.999968
FILLER_31_68,VDD,Metal1,45.3600,137.2000,4.999968
FILLER_31_58,VDD,Metal1,39.7600,137.2000,4.999969
FILLER_31_28,VDD,Metal1,22.6800,137.2000,4.999970
FILLER_31_26,VDD,Metal1,21.8400,137.2000,4.999970
FILLER_31_18,VDD,Metal1,19.5465,137.7765,4.999970
FILLER_31_2,VDD,Metal1,12.9280,137.8920,4.999970
FILLER_30_215,VDD,Metal1,127.4000,137.2000,4.999955
FILLER_30_211,VDD,Metal1,126.3800,136.7675,4.999955
FILLER_30_181,VDD,Metal1,108.3600,137.2000,4.999956
FILLER_30_177,VDD,Metal1,107.3400,136.7675,4.999956
FILLER_30_117,VDD,Metal1,72.5200,137.2000,4.999960
FILLER_30_115,VDD,Metal1,71.6800,137.2000,4.999960
