net,length_um
_295_,22.96µm
DAT_O[6],22.82µm
_355_,22.5µm
_342_,22.45µm
net45,22.45µm
_053_,22.4µm
_198_,22.4µm
net44,22.4µm
_291_,21.94µm
net2,21.89µm
_090_,21.89µm
_354_,21.89µm
_046_,21.84µm
_264_,21.43µm
_259_,21.38µm
net3,21.33µm
_299_,21.33µm
send_data_buffer\[7\],21.33µm
_064_,21.28µm
_308_,21.28µm
_105_,20.77µm
_293_,20.77µm
_255_,20.36µm
DAT_O[5],20.02µm
_088_,19.7µm
_263_,19.7µm
_403_,19.65µm
net41,19.65µm
_048_,19.14µm
_230_,19.09µm
i2c_next_state\[1\],19.09µm
net47,19.04µm
DAT_O[4],18.9µm
net6,18.53µm
_057_,18.53µm
_183_,18.53µm
_196_,18.53µm
_187_,18.48µm
_315_,18.48µm
_112_,17.97µm
_049_,17.46µm
_210_,17.46µm
addr_set_register\[0\],17.46µm
_024_,17.41µm
_292_,17.41µm
_158_,17.36µm
_246_,17.36µm
send_data_buffer\[3\],17.36µm
ADDR_O[1],17.22µm
_206_,16.9µm
_208_,16.9µm
send_data_buffer\[5\],16.9µm
scl_synchroniser_internal\[0\],16.85µm
_306_,16.8µm
_330_,16.8µm
_400_,16.8µm
i2c_scl_in,16.66µm
sda_previous_state,16.44µm
_331_,16.39µm
_151_,16.34µm
net60,16.34µm
_051_,16.29µm
_309_,16.29µm
_389_,16.29µm
previous_state,16.29µm
_242_,16.24µm
_268_,16.24µm
_362_,16.24µm
DAT_O[3],16.1µm
net5,15.73µm
net30,15.73µm
_348_,15.73µm
_377_,15.73µm
_380_,15.73µm
sda_synchroniser_internal\[0\],15.73µm
wb_master_next_state\[0\],15.73µm
register_content_data_flag,15.68µm
DAT_I[6],15.54µm
_294_,15.22µm
_297_,15.22µm
_235_,15.17µm
_300_,15.17µm
_080_,15.12µm
_227_,15.12µm
ADDR_O[3],14.98µm
_096_,14.71µm
_168_,14.66µm
_345_,14.56µm
_027_,14.1µm
_357_,14.1µm
net23,14.05µm
_056_,14.05µm
_009_,14µm
_328_,14µm
_374_,14µm
_296_,13.54µm
_298_,13.54µm
net22,13.49µm
_036_,13.49µm
_052_,13.49µm
_305_,13.49µm
_020_,13.44µm
_316_,13.44µm
_373_,13.44µm
DAT_O[2],13.3µm
_290_,12.98µm
_026_,12.93µm
_248_,12.93µm
_250_,12.93µm
_304_,12.93µm
_017_,12.88µm
DAT_I[7],12.74µm
ADDR_O[4],12.74µm
i2c_sda_out_pin_ctrl,12.74µm
_372_,12.42µm
_047_,12.37µm
_405_,12.37µm
net64,12.37µm
net7,12.32µm
_281_,12.32µm
DAT_I[5],12.18µm
ADDR_O[7],12.18µm
WE_O,12.18µm
_012_,11.81µm
_128_,11.81µm
_134_,11.81µm
_244_,11.81µm
_171_,11.76µm
DAT_I[4],11.62µm
_068_,11.3µm
_172_,11.25µm
_225_,11.25µm
_393_,11.25µm
net38,11.25µm
net53,11.25µm
_001_,11.2µm
_016_,11.2µm
_343_,11.2µm
DAT_I[0],11.06µm
DAT_O[1],11.06µm
_159_,10.69µm
_371_,10.69µm
_376_,10.69µm
_013_,10.64µm
_146_,10.64µm
_236_,10.64µm
_350_,10.64µm
_353_,10.64µm
DAT_I[1],10.5µm
DAT_I[2],10.5µm
_303_,10.18µm
_038_,10.13µm
_232_,10.13µm
_363_,10.13µm
net11,10.13µm
net33,10.13µm
_127_,10.08µm
_326_,10.08µm
_334_,10.08µm
net12,10.08µm
net55,10.08µm
DAT_I[3],9.94µm
i2c_sda_in,9.94µm
ADDR_O[5],9.94µm
ADDR_O[6],9.94µm
_147_,9.67µm
_251_,9.62µm
_386_,9.62µm
net43,9.57µm
net52,9.57µm
_213_,9.52µm
i2c_sda_out_pin_ctrl_n,9.38µm
_234_,9.11µm
_010_,9.01µm
_239_,9.01µm
_283_,9.01µm
_359_,9.01µm
_035_,8.96µm
DAT_O[0],8.87µm
_289_,8.5µm
_337_,8.45µm
net63,8.45µm
_022_,8.4µm
_219_,8.4µm
_164_,8.12µm
_138_,7.99µm
_060_,7.89µm
_125_,7.89µm
_220_,7.89µm
_222_,7.89µm
_338_,7.89µm
_033_,7.84µm
_063_,7.84µm
_247_,7.84µm
_351_,7.84µm
_369_,7.84µm
_332_,7.38µm
net13,7.33µm
_040_,7.33µm
_043_,7.33µm
_044_,7.33µm
_189_,7.33µm
_238_,7.33µm
_287_,7.33µm
_339_,7.33µm
net48,7.33µm
_018_,7.28µm
_106_,7.28µm
_132_,7.28µm
_145_,7.28µm
_382_,7.28µm
_155_,6.87µm
_274_,6.82µm
_404_,6.82µm
_011_,6.77µm
_025_,6.77µm
_314_,6.77µm
_000_,6.72µm
_019_,6.72µm
_028_,6.72µm
_045_,6.72µm
_065_,6.72µm
_124_,6.72µm
_241_,6.72µm
_275_,6.72µm
_307_,6.72µm
_324_,6.72µm
_335_,6.72µm
wb_master_next_state\[1\],6.72µm
net37,6.72µm
_002_,6.26µm
_029_,6.21µm
_054_,6.21µm
_176_,6.21µm
_340_,6.21µm
_381_,6.21µm
_190_,6.16µm
_123_,5.7µm
_173_,5.7µm
_245_,5.65µm
_379_,5.65µm
net8,5.6µm
_144_,5.6µm
_163_,5.6µm
_279_,5.6µm
_323_,5.6µm
net40,5.6µm
_109_,5.14µm
_152_,5.14µm
_368_,5.14µm
_143_,5.09µm
_269_,5.09µm
_023_,5.04µm
_058_,5.04µm
_175_,5.04µm
_370_,5.04µm
net49,5.04µm
_130_,4.58µm
_003_,4.48µm
_006_,4.48µm
_007_,4.48µm
_008_,4.48µm
_039_,4.48µm
_050_,4.48µm
_215_,4.48µm
_217_,4.48µm
_271_,4.48µm
_325_,4.48µm
_341_,4.48µm
_162_,4.02µm
_116_,3.97µm
_030_,3.92µm
_031_,3.92µm
_032_,3.92µm
_142_,3.92µm
_157_,3.92µm
_276_,3.92µm
_384_,3.92µm
_385_,3.92µm
i2c_next_state\[0\],3.92µm
net62,3.92µm
_406_,3.46µm
net57,3.46µm
_329_,3.41µm
_004_,3.36µm
_139_,3.36µm
_228_,3.36µm
_237_,3.36µm
_280_,3.36µm
_344_,3.36µm
_356_,3.36µm
_367_,3.36µm
_375_,3.36µm
_181_,2.9µm
_352_,2.9µm
_407_,2.9µm
net61,2.9µm
_005_,2.8µm
_021_,2.8µm
_041_,2.8µm
_042_,2.8µm
_055_,2.8µm
_059_,2.8µm
_079_,2.8µm
_135_,2.8µm
_257_,2.8µm
_267_,2.8µm
_310_,2.8µm
net42,2.8µm
_126_,2.34µm
_129_,2.24µm
_216_,2.24µm
_286_,2.24µm
_301_,2.24µm
_378_,2.24µm
_108_,1.78µm
_188_,1.12µm
_226_,1.12µm
_229_,1.12µm
net59,1.12µm
