Metric,Value
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,446.67
design__instance__count__class:fill_cell,639
design__instance__area__class:fill_cell,7077.32
timing__unannotated_net__count__corner:nom_tt_025C_5v00,15
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,15
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,15
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,1
design__max_cap_violation__count__corner:min_tt_025C_5v00,1
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.2629761205453549
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.26324834723869206
timing__hold__ws__corner:min_tt_025C_5v00,0.5590696952515427
timing__setup__ws__corner:min_tt_025C_5v00,73.39446946825534
timing__hold__tns__corner:min_tt_025C_5v00,0
timing__setup__tns__corner:min_tt_025C_5v00,0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.55907
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,97.197746
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,15
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,6
design__max_fanout_violation__count__corner:min_ss_125C_4v50,1
design__max_cap_violation__count__corner:min_ss_125C_4v50,1
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.27297717636748114
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.27325006919465195
timing__hold__ws__corner:min_ss_125C_4v50,1.2690844290217191
timing__setup__ws__corner:min_ss_125C_4v50,67.80950393124434
timing__hold__tns__corner:min_ss_125C_4v50,0
timing__setup__tns__corner:min_ss_125C_4v50,0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.269084
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,94.820854
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,15
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,1
design__max_cap_violation__count__corner:min_ff_n40C_5v50,1
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.25841643445426266
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.2586886611475998
timing__hold__ws__corner:min_ff_n40C_5v50,0.23986624476710242
timing__setup__ws__corner:min_ff_n40C_5v50,75.83826759017981
timing__hold__tns__corner:min_ff_n40C_5v50,0
timing__setup__tns__corner:min_ff_n40C_5v50,0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0
