Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_37_265,VSS,Metal1,155.6800,164.6400,0.000014
FILLER_37_208,VSS,Metal1,123.4800,164.6400,0.000013
FILLER_37_206,VSS,Metal1,122.6400,164.6400,0.000013
FILLER_37_172,VSS,Metal1,103.3200,164.6400,0.000012
FILLER_37_138,VSS,Metal1,84.5600,164.6400,0.000011
FILLER_37_130,VSS,Metal1,79.8000,164.6400,0.000011
FILLER_37_128,VSS,Metal1,78.9600,164.6400,0.000010
FILLER_37_120,VSS,Metal1,75.6530,164.1780,0.000010
FILLER_37_104,VSS,Metal1,68.8320,164.0920,0.000010
FILLER_37_90,VSS,Metal1,57.6800,164.6400,0.000009
FILLER_37_86,VSS,Metal1,55.6200,164.2910,0.000009
FILLER_37_70,VSS,Metal1,49.7920,164.0920,0.000008
FILLER_37_64,VSS,Metal1,43.3000,164.2910,0.000008
FILLER_37_56,VSS,Metal1,39.8130,164.1780,0.000007
FILLER_37_40,VSS,Metal1,29.4000,164.6400,0.000007
FILLER_37_36,VSS,Metal1,27.6200,164.2910,0.000007
FILLER_37_32,VSS,Metal1,25.2000,164.6400,0.000007
FILLER_37_6,VSS,Metal1,10.3600,164.6400,0.000007
FILLER_37_2,VSS,Metal1,8.5800,164.2910,0.000007
FILLER_36_263,VSS,Metal1,154.7400,157.1485,0.000059
FILLER_36_244,VSS,Metal1,143.6400,156.8000,0.000059
FILLER_36_159,VSS,Metal1,96.0400,156.8000,0.000057
FILLER_36_151,VSS,Metal1,91.5600,156.8000,0.000057
FILLER_36_120,VSS,Metal1,74.4800,156.8000,0.000054
FILLER_36_112,VSS,Metal1,71.1730,157.2615,0.000054
FILLER_36_90,VSS,Metal1,57.4000,156.8000,0.000052
FILLER_36_88,VSS,Metal1,56.5600,156.8000,0.000052
FILLER_36_43,VSS,Metal1,31.0800,156.8000,0.000048
FILLER_36_41,VSS,Metal1,30.2400,156.8000,0.000048
FILLER_36_37,VSS,Metal1,28.1800,157.1485,0.000048
FILLER_36_31,VSS,Metal1,24.8200,157.1485,0.000048
FILLER_35_237,VSS,Metal1,139.7200,156.8000,0.000058
FILLER_35_209,VSS,Metal1,124.0400,156.8000,0.000058
FILLER_35_207,VSS,Metal1,123.2000,156.8000,0.000058
FILLER_35_119,VSS,Metal1,73.9200,156.8000,0.000054
FILLER_35_76,VSS,Metal1,49.5600,156.8000,0.000050
FILLER_35_72,VSS,Metal1,47.7800,156.4510,0.000050
FILLER_35_68,VSS,Metal1,45.3600,156.8000,0.000050
FILLER_35_60,VSS,Metal1,42.0530,156.3380,0.000050
FILLER_34_247,VSS,Metal1,145.7800,149.3085,0.000087
FILLER_34_115,VSS,Metal1,71.4000,148.9600,0.000043
FILLER_34_101,VSS,Metal1,64.0200,149.3085,0.000043
FILLER_34_43,VSS,Metal1,31.0800,148.9600,0.000040
FILLER_34_41,VSS,Metal1,30.2400,148.9600,0.000040
FILLER_34_37,VSS,Metal1,28.1800,149.3085,0.000040
FILLER_34_34,VSS,Metal1,26.0400,148.9600,0.000040
FILLER_34_18,VSS,Metal1,20.6720,149.5080,0.000040
FILLER_33_266,VSS,Metal1,155.9600,148.9600,0.000087
FILLER_33_144,VSS,Metal1,87.6400,148.9600,0.000084
FILLER_33_142,VSS,Metal1,86.8000,148.9600,0.000084
FILLER_33_129,VSS,Metal1,79.2400,148.9600,0.000084
FILLER_33_121,VSS,Metal1,76.2130,148.4980,0.000083
FILLER_33_105,VSS,Metal1,69.3920,148.4120,0.000043
FILLER_33_88,VSS,Metal1,56.7400,148.6110,0.000041
FILLER_33_74,VSS,Metal1,48.4400,148.9600,0.000040
FILLER_33_72,VSS,Metal1,47.6000,148.9600,0.000040
FILLER_33_53,VSS,Metal1,36.9600,148.9600,0.000040
FILLER_33_23,VSS,Metal1,19.8800,148.9600,0.000040
FILLER_33_19,VSS,Metal1,18.1000,148.6110,0.000040
FILLER_33_6,VSS,Metal1,10.3600,148.9600,0.000040
FILLER_33_2,VSS,Metal1,8.5800,148.6110,0.000040
FILLER_32_247,VSS,Metal1,145.7800,141.4685,0.000258
FILLER_32_215,VSS,Metal1,127.4000,141.1200,0.000253
FILLER_32_213,VSS,Metal1,126.5600,141.1200,0.000253
FILLER_32_183,VSS,Metal1,109.4800,141.1200,0.000251
FILLER_32_143,VSS,Metal1,87.3600,141.1200,0.000240
FILLER_32_131,VSS,Metal1,80.8200,141.4685,0.000236
FILLER_32_123,VSS,Metal1,77.3330,141.5815,0.000235
FILLER_32_107,VSS,Metal1,70.5120,141.6680,0.000235
FILLER_32_103,VSS,Metal1,64.9600,141.1200,0.000217
FILLER_32_99,VSS,Metal1,62.9000,141.4685,0.000217
FILLER_31_216,VSS,Metal1,127.9600,141.1200,0.000253
FILLER_31_212,VSS,Metal1,126.1800,140.7710,0.000253
FILLER_31_193,VSS,Metal1,115.0800,141.1200,0.000251
FILLER_31_160,VSS,Metal1,97.0600,140.7710,0.000248
FILLER_31_153,VSS,Metal1,92.6800,141.1200,0.000245
FILLER_31_151,VSS,Metal1,91.8400,141.1200,0.000245
FILLER_31_144,VSS,Metal1,87.6400,141.1200,0.000240
FILLER_31_142,VSS,Metal1,86.8000,141.1200,0.000240
FILLER_31_104,VSS,Metal1,65.2400,141.1200,0.000217
FILLER_31_102,VSS,Metal1,64.4000,141.1200,0.000217
FILLER_31_94,VSS,Metal1,61.0930,140.6580,0.000216
FILLER_31_85,VSS,Metal1,54.8800,141.1200,0.000110
FILLER_31_6,VSS,Metal1,10.3600,141.1200,0.000091
FILLER_31_2,VSS,Metal1,8.5800,140.7710,0.000091
FILLER_30_247,VSS,Metal1,145.7800,133.6285,0.000191
FILLER_30_128,VSS,Metal1,79.1400,133.6285,0.000184
FILLER_30_111,VSS,Metal1,69.1600,133.2800,0.000184
FILLER_30_107,VSS,Metal1,67.3800,133.6285,0.000184
FILLER_30_104,VSS,Metal1,65.2400,133.2800,0.000170
FILLER_30_102,VSS,Metal1,64.4000,133.2800,0.000170
FILLER_30_87,VSS,Metal1,55.7200,133.2800,0.000164
FILLER_30_33,VSS,Metal1,25.7600,133.2800,0.000152
FILLER_30_2,VSS,Metal1,8.4000,133.2800,0.000152
FILLER_29_237,VSS,Metal1,139.7200,133.2800,0.000191
FILLER_29_142,VSS,Metal1,86.5200,133.2800,0.000189
FILLER_29_72,VSS,Metal1,47.3200,133.2800,0.000163
FILLER_29_37,VSS,Metal1,28.1800,132.9310,0.000161
FILLER_29_21,VSS,Metal1,22.3520,132.7320,0.000152
FILLER_29_12,VSS,Metal1,13.7200,133.2800,0.000152
FILLER_29_10,VSS,Metal1,12.8800,133.2800,0.000152
FILLER_29_2,VSS,Metal1,9.5730,132.8180,0.000152
FILLER_28_247,VSS,Metal1,145.7800,125.7885,0.000114
FILLER_28_215,VSS,Metal1,127.4000,125.4400,0.000113
FILLER_28_211,VSS,Metal1,125.6200,125.7885,0.000113
FILLER_28_177,VSS,Metal1,106.4000,125.4400,0.000113
FILLER_28_146,VSS,Metal1,88.7600,125.4400,0.000111
FILLER_28_141,VSS,Metal1,85.9600,125.4400,0.000110
FILLER_28_139,VSS,Metal1,85.1200,125.4400,0.000108
FILLER_28_107,VSS,Metal1,74.9240,126.0375,0.000108
FILLER_28_45,VSS,Metal1,32.4800,125.4400,0.000101
FILLER_28_37,VSS,Metal1,29.1730,125.9015,0.000098
FILLER_28_31,VSS,Metal1,24.8200,125.7885,0.000093
FILLER_27_212,VSS,Metal1,125.7200,125.4400,0.000113
FILLER_27_188,VSS,Metal1,112.2800,125.4400,0.000113
FILLER_27_158,VSS,Metal1,95.4800,125.4400,0.000112
FILLER_27_156,VSS,Metal1,94.6400,125.4400,0.000112
FILLER_27_142,VSS,Metal1,86.8000,125.4400,0.000110
FILLER_27_139,VSS,Metal1,84.8400,125.4400,0.000108
FILLER_27_137,VSS,Metal1,84.0000,125.4400,0.000108
FILLER_27_133,VSS,Metal1,81.9400,125.0910,0.000108
FILLER_27_72,VSS,Metal1,47.6000,125.4400,0.000104
FILLER_27_53,VSS,Metal1,36.6800,125.4400,0.000104
FILLER_27_51,VSS,Metal1,35.8400,125.4400,0.000104
FILLER_27_43,VSS,Metal1,32.5330,124.9780,0.000101
FILLER_27_10,VSS,Metal1,13.0600,125.0910,0.000098
FILLER_27_2,VSS,Metal1,9.5730,124.9780,0.000098
FILLER_26_247,VSS,Metal1,145.7800,117.9485,0.000059
FILLER_26_204,VSS,Metal1,121.2400,117.6000,0.000058
FILLER_26_202,VSS,Metal1,120.4000,117.6000,0.000058
FILLER_26_154,VSS,Metal1,93.2400,117.6000,0.000056
FILLER_26_142,VSS,Metal1,86.5200,117.6000,0.000053
FILLER_26_140,VSS,Metal1,85.6800,117.6000,0.000053
FILLER_26_107,VSS,Metal1,67.3800,117.9485,0.000049
FILLER_26_70,VSS,Metal1,46.2000,117.6000,0.000046
FILLER_26_68,VSS,Metal1,45.3600,117.6000,0.000046
FILLER_26_49,VSS,Metal1,34.4400,117.6000,0.000036
FILLER_26_45,VSS,Metal1,32.6600,117.9485,0.000036
FILLER_26_26,VSS,Metal1,21.5600,117.6000,0.000034
FILLER_26_22,VSS,Metal1,19.7800,117.9485,0.000034
FILLER_26_14,VSS,Metal1,16.2930,118.0615,0.000034
FILLER_26_8,VSS,Metal1,11.4800,117.6000,0.000034
FILLER_26_6,VSS,Metal1,10.6400,117.6000,0.000034
FILLER_26_2,VSS,Metal1,8.5800,117.9485,0.000034
FILLER_25_212,VSS,Metal1,125.7200,117.6000,0.000059
FILLER_25_208,VSS,Metal1,123.7600,117.6000,0.000059
FILLER_25_158,VSS,Metal1,95.7600,117.6000,0.000056
FILLER_25_154,VSS,Metal1,93.7000,117.2510,0.000056
FILLER_25_142,VSS,Metal1,86.5200,117.6000,0.000053
FILLER_25_139,VSS,Metal1,84.8400,117.6000,0.000052
FILLER_25_135,VSS,Metal1,83.0600,117.2510,0.000052
FILLER_25_127,VSS,Metal1,79.5730,117.1380,0.000052
FILLER_25_111,VSS,Metal1,69.1600,117.6000,0.000049
FILLER_25_109,VSS,Metal1,68.3200,117.6000,0.000049
FILLER_25_99,VSS,Metal1,62.4400,117.6000,0.000048
FILLER_25_95,VSS,Metal1,60.6600,117.2510,0.000048
FILLER_25_89,VSS,Metal1,57.1200,117.6000,0.000048
FILLER_25_85,VSS,Metal1,55.0600,117.2510,0.000048
FILLER_25_76,VSS,Metal1,49.5600,117.6000,0.000046
FILLER_25_69,VSS,Metal1,45.6400,117.6000,0.000046
FILLER_25_67,VSS,Metal1,44.8000,117.6000,0.000043
FILLER_25_63,VSS,Metal1,42.7400,117.2510,0.000043
FILLER_25_47,VSS,Metal1,36.9120,117.0520,0.000036
FILLER_25_35,VSS,Metal1,26.6000,117.6000,0.000034
FILLER_25_31,VSS,Metal1,24.8200,117.2510,0.000034
FILLER_24_247,VSS,Metal1,145.7800,110.1085,0.000052
FILLER_24_241,VSS,Metal1,142.4200,110.1085,0.000052
FILLER_24_150,VSS,Metal1,91.4600,110.1085,0.000050
FILLER_24_122,VSS,Metal1,75.7800,110.1085,0.000048
FILLER_24_109,VSS,Metal1,68.0400,109.7600,0.000048
FILLER_24_107,VSS,Metal1,67.2000,109.7600,0.000048
FILLER_24_81,VSS,Metal1,55.9520,110.3080,0.000046
FILLER_24_75,VSS,Metal1,49.0000,109.7600,0.000046
FILLER_24_73,VSS,Metal1,48.1600,109.7600,0.000043
FILLER_24_57,VSS,Metal1,42.5120,110.3080,0.000043
FILLER_24_45,VSS,Metal1,32.6600,110.1085,0.000042
FILLER_23_237,VSS,Metal1,139.7200,109.7600,0.000052
FILLER_23_212,VSS,Metal1,126.1800,109.4110,0.000051
FILLER_23_156,VSS,Metal1,94.6400,109.7600,0.000050
FILLER_23_152,VSS,Metal1,92.5800,109.4110,0.000050
FILLER_23_126,VSS,Metal1,78.0200,109.4110,0.000049
FILLER_23_95,VSS,Metal1,60.4800,109.7600,0.000046
FILLER_23_91,VSS,Metal1,58.4200,109.4110,0.000046
FILLER_23_83,VSS,Metal1,54.9330,109.2980,0.000046
FILLER_23_74,VSS,Metal1,48.4400,109.7600,0.000043
FILLER_23_72,VSS,Metal1,47.6000,109.7600,0.000043
FILLER_23_69,VSS,Metal1,45.6400,109.7600,0.000043
FILLER_23_65,VSS,Metal1,43.8600,109.4110,0.000043
FILLER_23_57,VSS,Metal1,40.3730,109.2980,0.000043
FILLER_23_45,VSS,Metal1,32.2000,109.7600,0.000042
FILLER_23_30,VSS,Metal1,23.8000,109.7600,0.000035
FILLER_23_26,VSS,Metal1,22.0200,109.4110,0.000035
FILLER_23_2,VSS,Metal1,8.1200,109.7600,0.000035
FILLER_22_247,VSS,Metal1,145.7800,102.2685,0.000049
FILLER_22_179,VSS,Metal1,107.2400,101.9200,0.000047
