_0282_,47.6µm
_0181_,47.19µm
_0240_,46.02µm
_0348_,45.46µm
range_timing_internal\[1\],45µm
_0600_,44.9µm
pulse_timing_internal\[1\],44.9µm
measurement_state_machine\[4\],44.39µm
net19,44.24µm
range_timing_internal\[3\],44.16µm
net3,43.73µm
measurement_state_machine\[6\],43.73µm
_0382_,43.17µm
_0469_,43.17µm
range_timing_register\[5\],43.12µm
net39,42.71µm
_0507_,42.61µm
pulse_timing_register\[16\],42.56µm
range_timing_register\[2\],42.56µm
_0361_,42.15µm
range_timing_register\[8\],42.05µm
net23,42µm
_0453_,42µm
_0562_,41.44µm
net28,40.98µm
_0342_,40.98µm
_0592_,40.93µm
ADDR_I[2],40.74µm
net30,40.47µm
pulse_timing_register\[4\],40.42µm
range_timing_internal\[22\],40.42µm
pulse_timing_register\[5\],40.37µm
pulse_timing_internal\[0\],39.91µm
pulse_timing_internal\[5\],39.91µm
_0197_,39.86µm
_0499_,39.81µm
measurement_state_machine\[11\],39.81µm
range_timing_register\[14\],39.76µm
range_timing_internal\[14\],39.35µm
_0225_,39.3µm
_0427_,39.25µm
measurement_state_machine\[8\],39.25µm
_0202_,39.2µm
pulse_timing_internal\[21\],38.79µm
net4,38.74µm
_0266_,38.69µm
range_timing_register\[9\],38.69µm
_0321_,38.64µm
_0566_,38.64µm
ACK_O,38.5µm
pulse_timing_internal\[4\],38.18µm
range_timing_register\[17\],38.13µm
_0373_,37.57µm
_0384_,37.57µm
_0560_,37.57µm
_0565_,37.57µm
_0149_,37.52µm
_0456_,37.52µm
pulse_timing_internal\[13\],37.52µm
DAT_O[4],37.38µm
net27,36.96µm
_0335_,36.96µm
_0610_,36.96µm
_0617_,36.96µm
measurement_state_machine\[9\],36.96µm
trigger_timer_internal\[4\],36.96µm
_0402_,36.45µm
net114,36.4µm
_0528_,35.89µm
range_timing_internal\[13\],35.89µm
range_timing_register\[0\],35.89µm
_0363_,35.43µm
pulse_timing_internal\[17\],35.43µm
_0229_,35.33µm
_0290_,35.33µm
_0268_,35.28µm
_0173_,34.92µm
measurement_state_machine\[5\],34.92µm
_0170_,34.82µm
net29,34.77µm
_0341_,34.77µm
trigger_timer_internal\[5\],34.36µm
pulse_timing_internal\[12\],34.31µm
pulse_timing_register\[12\],34.21µm
_0150_,34.16µm
net111,34.16µm
ADDR_I[0],34.02µm
ADDR_I[3],34.02µm
ERR_O,34.02µm
_0357_,33.7µm
_0413_,33.7µm
pulse_timing_internal\[9\],33.7µm
_0618_,33.65µm
range_timing_internal\[23\],33.65µm
_0153_,33.6µm
DAT_O[5],33.46µm
net,33.46µm
net43,33.24µm
pulse_timing_internal\[11\],33.19µm
_0221_,33.14µm
